match_id,season,team1,team2,venue,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,win_margin,toss_won_match,match_type,season_champion
1,2015,Mumbai Indians,Chennai Super Kings,M.A. Chidambaram Stadium,Mumbai Indians,bat,Mumbai Indians,14,0,Suryakumar Yadav,14 runs,True,Close,Mumbai Indians
2,2015,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,31,0,Rohit Sharma,31 runs,True,One-sided,Mumbai Indians
3,2015,Mumbai Indians,Kolkata Knight Riders,M.A. Chidambaram Stadium,Mumbai Indians,bat,Kolkata Knight Riders,0,1,Venkatesh Iyer,1 wickets,False,Chase,Mumbai Indians
4,2015,Mumbai Indians,Delhi Capitals,M.A. Chidambaram Stadium,Delhi Capitals,bat,Mumbai Indians,0,5,Rohit Sharma,5 wickets,False,Chase,Mumbai Indians
5,2015,Mumbai Indians,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Mumbai Indians,26,0,Suryakumar Yadav,26 runs,False,One-sided,Mumbai Indians
6,2015,Mumbai Indians,Sunrisers Hyderabad,Eden Gardens,Mumbai Indians,bat,Mumbai Indians,46,0,Jasprit Bumrah,46 runs,True,One-sided,Mumbai Indians
7,2015,Mumbai Indians,Punjab Kings,Wankhede Stadium,Punjab Kings,bat,Mumbai Indians,0,2,Hardik Pandya,2 wickets,False,Chase,Mumbai Indians
8,2015,Chennai Super Kings,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,field,Chennai Super Kings,59,0,MS Dhoni,59 runs,False,One-sided,Mumbai Indians
9,2015,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,field,Chennai Super Kings,0,2,Deepak Chahar,2 wickets,True,Chase,Mumbai Indians
10,2015,Chennai Super Kings,Delhi Capitals,Rajiv Gandhi Stadium,Delhi Capitals,field,Delhi Capitals,0,6,David Warner,6 wickets,True,Chase,Mumbai Indians
11,2015,Chennai Super Kings,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,6,0,Jos Buttler,6 runs,True,Close,Mumbai Indians
12,2015,Chennai Super Kings,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Chennai Super Kings,bat,Chennai Super Kings,21,0,Ravindra Jadeja,21 runs,True,One-sided,Mumbai Indians
13,2015,Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,Chennai Super Kings,field,Chennai Super Kings,0,1,Ravindra Jadeja,1 wickets,True,Chase,Mumbai Indians
14,2015,Royal Challengers Bangalore,Kolkata Knight Riders,Rajiv Gandhi Stadium,Kolkata Knight Riders,bat,Royal Challengers Bangalore,0,6,Glenn Maxwell,6 wickets,False,Chase,Mumbai Indians
15,2015,Royal Challengers Bangalore,Delhi Capitals,Eden Gardens,Delhi Capitals,field,Royal Challengers Bangalore,34,0,Glenn Maxwell,34 runs,False,One-sided,Mumbai Indians
16,2015,Royal Challengers Bangalore,Rajasthan Royals,Rajiv Gandhi Stadium,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,13,0,Mohammed Siraj,13 runs,True,Close,Mumbai Indians
17,2015,Royal Challengers Bangalore,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,Royal Challengers Bangalore,28,0,Glenn Maxwell,28 runs,False,One-sided,Mumbai Indians
18,2015,Royal Challengers Bangalore,Punjab Kings,Rajiv Gandhi Stadium,Punjab Kings,bat,Punjab Kings,2,0,Liam Livingstone,2 runs,True,Close,Mumbai Indians
19,2015,Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,Kolkata Knight Riders,field,Delhi Capitals,78,0,Anrich Nortje,78 runs,False,One-sided,Mumbai Indians
20,2015,Kolkata Knight Riders,Rajasthan Royals,Rajiv Gandhi Stadium,Rajasthan Royals,field,Kolkata Knight Riders,79,0,Shreyas Iyer,79 runs,False,One-sided,Mumbai Indians
21,2015,Kolkata Knight Riders,Sunrisers Hyderabad,Arun Jaitley Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,7,Rashid Khan,7 wickets,True,Chase,Mumbai Indians
22,2015,Kolkata Knight Riders,Punjab Kings,Wankhede Stadium,Kolkata Knight Riders,field,Punjab Kings,52,0,Arshdeep Singh,52 runs,False,One-sided,Mumbai Indians
23,2015,Delhi Capitals,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,bat,Delhi Capitals,0,3,Prithvi Shaw,3 wickets,False,Chase,Mumbai Indians
24,2015,Delhi Capitals,Sunrisers Hyderabad,Eden Gardens,Delhi Capitals,field,Sunrisers Hyderabad,70,0,Kane Williamson,70 runs,False,One-sided,Mumbai Indians
25,2015,Delhi Capitals,Punjab Kings,Rajiv Gandhi Stadium,Punjab Kings,bat,Delhi Capitals,0,2,Rishabh Pant,2 wickets,False,Chase,Mumbai Indians
26,2015,Rajasthan Royals,Sunrisers Hyderabad,Rajiv Gandhi Stadium,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,62,0,Rashid Khan,62 runs,True,One-sided,Mumbai Indians
27,2015,Rajasthan Royals,Punjab Kings,Sawai Mansingh Stadium,Punjab Kings,bat,Rajasthan Royals,0,7,Jos Buttler,7 wickets,False,Chase,Mumbai Indians
28,2015,Sunrisers Hyderabad,Punjab Kings,Sawai Mansingh Stadium,Sunrisers Hyderabad,field,Sunrisers Hyderabad,0,6,Nicholas Pooran,6 wickets,True,Chase,Mumbai Indians
29,2016,Mumbai Indians,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,13,0,MS Dhoni,13 runs,True,Close,Delhi Capitals
30,2016,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,57,0,Rohit Sharma,57 runs,True,One-sided,Delhi Capitals
31,2016,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,bat,Mumbai Indians,14,0,Jasprit Bumrah,14 runs,True,Close,Delhi Capitals
32,2016,Mumbai Indians,Delhi Capitals,Sawai Mansingh Stadium,Mumbai Indians,field,Delhi Capitals,33,0,David Warner,33 runs,False,One-sided,Delhi Capitals
33,2016,Mumbai Indians,Rajasthan Royals,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,0,7,Suryakumar Yadav,7 wickets,True,Chase,Delhi Capitals
